gender,gpa,conscientiousness,agreeableness,extraversion,neuroticism,openness
f,2.9528,0.4231154102735157,0.5720480320213476,0.9126084056037358,0.622248165443629,0.637758505670447
m,2.6,0.8770847231487658,0.4161107404936624,0.9126084056037358,0.7451634422948632,0.4019346230820547
m,2.4776,0.676450967311541,0.3223815877251501,0.957638425617078,0.4559706470980654,0.3659106070713809
m,3.216,0.30637091394262844,0.48699132755170116,0.6060707138092062,0.6674449633088726,0.7196464309539693
f,2.572,0.08889259506337559,0.15443629086057373,0.12558372248165445,0.5915610406937959,0.5998999332888593
f,3.9972000000000003,0.794863242161441,0.17795196797865243,0.21230820547031354,0.2109739826551034,0.4019346230820547
f,2.72,0.5335223482321547,0.22248165443629087,0.6060707138092062,0.8447298198799199,0.478819212808539
f,2.84,0.5335223482321547,0.6524349566377585,0.6734489659773182,0.8447298198799199,0.4019346230820547
m,2.926,0.4231154102735157,0.22248165443629087,0.5358572381587725,0.7451634422948632,0.478819212808539
f,2.8032,0.22548365577051369,0.22248165443629087,0.359072715143429,0.9312875250166778,0.8080386924616411
m,2.48,0.9804869913275517,0.6524349566377585,0.8372248165443629,0.38208805870580387,0.8700800533689126
m,2.7068,0.7506671114076051,0.718812541694463,0.47148098732488325,0.2109739826551034,0.8080386924616411
f,3.4,0.04186124082721814,0.02068045363575717,0.00600400266844563,0.7268178785857238,0.33488992661774514
f,3.4,0.8395597064709807,0.718812541694463,0.41711140760507004,0.16511007338225483,0.8700800533689126
m,3.2560000000000002,0.9032688458972649,0.8492328218812542,0.7828552368245497,0.1369246164109406,0.8080386924616411
m,3.008,0.5518679119412941,0.8212141427618412,0.8925950633755837,0.7353235490326885,0.44212808539026016
m,3.148,0.1134089392928619,0.06370913942628419,0.2858572381587725,0.6410940627084724,0.9671447631754503
f,2.9560000000000004,0.9032688458972649,0.4161107404936624,0.731320880587058,0.11057371581054036,0.8080386924616411
m,2.64,0.4061040693795864,0.3223815877251501,0.2858572381587725,0.14859906604402937,0.09356237491661107
m,3.04,0.5883922615076718,0.718812541694463,0.6060707138092062,0.52368245496998,0.9773182121414277
m,2.7976,0.04753168779186124,0.0195130086724483,0.359072715143429,0.4811541027351568,0.24366244162775183
f,3.2,0.6104069379586391,0.437625083388926,0.22781854569713142,0.39826551034022684,0.42728485657104737
m,2.52,0.1914609739826551,0.6889593062041361,0.7545030020013342,0.9389593062041361,0.6774516344229486
m,2.8,0.3340560373582388,0.06370913942628419,0.8208805870580387,0.9506337558372249,0.6774516344229486
f,2.22,0.8770847231487658,0.2713475650433622,0.41711140760507004,0.622248165443629,0.637758505670447
f,3.0,0.4231154102735157,0.2713475650433622,0.1756170780520347,0.3327218145430287,0.24366244162775183
m,2.44,0.03685790527018012,0.032021347565043365,0.009006004002668445,0.5763842561707805,0.021180787191460975
m,2.9336,0.08889259506337559,0.6152434956637759,0.568545697131421,0.7755170113408939,0.7756837891927952
m,2.92,0.9804869913275517,0.34889926617745165,0.47148098732488325,0.05370246831220814,0.637758505670447
m,3.06,0.4231154102735157,0.1370913942628419,0.21230820547031354,0.622248165443629,0.04169446297531688
m,2.5716,0.5053368912608406,0.5313542361574383,0.3337224816544363,0.5046697798532355,0.44212808539026016
m,3.068,0.9804869913275517,0.7903602401601068,0.9794863242161441,0.622248165443629,0.8700800533689126
f,2.84,0.22548365577051369,0.4161107404936624,0.731320880587058,0.3327218145430287,0.637758505670447
